term 	 tf-idf weight 	 BM25 ranking 
 copyright 	 58.92801373945206 1.874816544285572 
concentrate 	 38670.565575357316 0.22695777159731326 
malaysians 	 52897.996721274765 0.22695777159731326 
particular 	 8351.995395615697 0.407655276614473 
european 	 3340.7981582462785 0.780505348675992 
afternoon 	 37058.843013298756 0.22695777159731326 
peninsula 	 38670.565575357316 0.22695777159731326 
boat 	 4930.819070403573 0.9451660557641991 
europeans 	 46770.575645124845 0.22695777159731326 
title 	 10215.70328352242 0.22695777159731326 
massive 	 14784.364963737939 0.407655276614473 
runway 	 13224.499180318691 0.6772651892054877 
mason 	 37058.843013298756 0.22695777159731326 
hung 	 40643.15456897493 0.22695777159731326 
millennium 	 46770.575645124845 0.22695777159731326 
fairs 	 52897.996721274765 0.22695777159731326 
provisionally 	 52897.996721274765 0.22695777159731326 
decided 	 24804.000860998927 0.22695777159731326 
exposition 	 23385.287822562423 0.407655276614473 
set 	 6559.83961777761 0.407655276614473 
apart 	 15111.92220065739 0.407655276614473 
rest 	 27347.110381472667 0.22695777159731326 
feasibility 	 15850.301254868586 0.407655276614473 
test 	 21468.719857708347 0.22695777159731326 
permanent 	 11565.550792097167 0.407655276614473 
relocated 	 52897.996721274765 0.22695777159731326 
chek 	 5877.555191252752 1.0706503101601446 
lap 	 2640.310980644055 1.0706503101601446 
kok 	 5877.555191252752 1.0706503101601446 
rule 	 18494.305285976825 0.22695777159731326 
returns 	 28958.832943531226 0.22695777159731326 
june 	 4623.576321494206 0.6772651892054877 
inbound 	 10579.599344254953 0.780505348675992 
advising 	 40643.15456897493 0.22695777159731326 
week 	 10256.055884744344 0.407655276614473 
special 	 2087.759141877657 0.9451660557641991 
politics 	 18676.579784849007 0.22695777159731326 
confirmed 	 31700.60250973717 0.22695777159731326 
sovereignty 	 30931.421937148843 0.22695777159731326 
celebrations 	 23385.287822562423 0.407655276614473 
july 	 6837.370589829563 0.5549280754019316 
mascot 	 14395.421363149557 0.5549280754019316 
preparatory 	 23385.287822562423 0.407655276614473 
prepare 	 15850.301254868586 0.407655276614473 
administrative 	 12590.113926230539 0.407655276614473 
region 	 2254.255816323063 1.0706503101601446 
selected 	 5782.775396048583 0.6772651892054877 
dolphin 	 7556.856674467824 0.9451660557641991 
celebration 	 37058.843013298756 0.22695777159731326 
strange 	 34515.73349282501 0.22695777159731326 
associated 	 21724.9696836679 0.22695777159731326 
animals 	 32543.1444992074 0.22695777159731326 
rare 	 40643.15456897493 0.22695777159731326 
pink 	 21593.132044724338 0.407655276614473 
sousa 	 52897.996721274765 0.22695777159731326 
chinensis 	 52897.996721274765 0.22695777159731326 
native 	 13207.861711528742 0.407655276614473 
irony 	 35696.1510036258 0.22695777159731326 
choosing 	 32543.1444992074 0.22695777159731326 
endangered 	 23385.287822562423 0.407655276614473 
animal 	 28388.312416675097 0.22695777159731326 
missed 	 37058.843013298756 0.22695777159731326 
dolphins 	 5289.799672127477 1.1228251713993636 
wild 	 34515.73349282501 0.22695777159731326 
attraction 	 12890.188525119105 0.5549280754019316 
organised 	 10796.566022362169 0.6772651892054877 
dolphinwatch 	 7556.856674467824 0.9451660557641991 
operation 	 6992.494124499939 0.5549280754019316 
enthusiasts 	 40643.15456897493 0.22695777159731326 
construction 	 10609.844652661375 0.407655276614473 
roughly 	 38670.565575357316 0.22695777159731326 
nearly 	 30931.421937148843 0.22695777159731326 
tsing 	 10579.599344254953 0.780505348675992 
bridge 	 5579.08857627043 0.8687963950838536 
land 	 4014.003930321737 0.780505348675992 
section 	 22541.549833626068 0.22695777159731326 
jets 	 26448.998360637383 0.407655276614473 
flying 	 9667.641393839329 0.6772651892054877 
low 	 5824.390454606572 0.5549280754019316 
tops 	 52897.996721274765 0.22695777159731326 
buildings 	 33474.53145762259 0.22695777159731326 
lung 	 40643.15456897493 0.22695777159731326 
cheung 	 6681.5108064464075 0.9451660557641991 
lookout 	 23385.287822562423 0.407655276614473 
aircraft 	 7732.855484287211 0.6772651892054877 
viewed 	 26415.723423057483 0.22695777159731326 
landing 	 14395.421363149557 0.5549280754019316 
core 	 27347.110381472667 0.22695777159731326 
organise 	 11692.643911281211 0.6772651892054877 
improved 	 13673.555190736333 0.407655276614473 
orient 	 13224.499180318691 0.6772651892054877 
day 	 3069.284311521247 0.6772651892054877 
spend 	 9856.243309158626 0.5549280754019316 
exploring 	 40643.15456897493 0.22695777159731326 
islands 	 15111.92220065739 0.407655276614473 
surround 	 46770.575645124845 0.22695777159731326 
particularly 	 7864.256982929312 0.407655276614473 
favoured 	 52897.996721274765 0.22695777159731326 
tranquil 	 26448.998360637383 0.407655276614473 
contrast 	 22541.549833626068 0.22695777159731326 
mainly 	 15111.92220065739 0.407655276614473 
popularity 	 16737.265728811293 0.407655276614473 
buddha 	 8816.332786879128 0.8687963950838536 
tai 	 10796.566022362169 0.6772651892054877 
fishing 	 6773.859094829155 0.8687963950838536 
village 	 4397.773975582216 0.780505348675992 
hyfco 	 52897.996721274765 0.22695777159731326 
agency 	 6225.526594949669 0.5549280754019316 
stay 	 3358.644518180429 1.0118761367923732 
looking 	 3971.399459129958 0.780505348675992 
meet 	 4578.928338322488 0.6772651892054877 
demand 	 5304.922326330688 0.6772651892054877 
modified 	 26415.723423057483 0.22695777159731326 
hopping 	 52897.996721274765 0.22695777159731326 
enables 	 31700.60250973717 0.22695777159731326 
compared 	 9338.289892424504 0.407655276614473 
hop 	 21593.132044724338 0.407655276614473 
romantic 	 31700.60250973717 0.22695777159731326 
elect 	 34515.73349282501 0.22695777159731326 
lantau's 	 26448.998360637383 0.407655276614473 
silvermine 	 52897.996721274765 0.22695777159731326 
offers 	 3663.1426706579905 0.780505348675992 
tailor 	 43186.264089448676 0.22695777159731326 
hiking 	 52897.996721274765 0.22695777159731326 
dinner 	 40643.15456897493 0.22695777159731326 
treasure 	 40643.15456897493 0.22695777159731326 
hunt 	 35696.1510036258 0.22695777159731326 
expeditions 	 17632.665573758255 0.5549280754019316 
pirate 	 52897.996721274765 0.22695777159731326 
haunt 	 52897.996721274765 0.22695777159731326 
inspections 	 43186.264089448676 0.22695777159731326 
archaeological 	 46770.575645124845 0.22695777159731326 
cost 	 2246.1252811268682 1.0118761367923732 
depends 	 30223.84440131478 0.22695777159731326 
size 	 12221.567214719935 0.407655276614473 
itinerary 	 26448.998360637383 0.407655276614473 
watertours' 	 52897.996721274765 0.22695777159731326 
add 	 13434.578072721715 0.407655276614473 
adults 	 13926.195379908906 0.407655276614473 
including 	 1293.5731219989386 0.8687963950838536 
lunch 	 15590.191881708282 0.5549280754019316 
prices 	 4888.626885887974 0.780505348675992 
start 	 2383.8419199697614 0.6772651892054877 
prefer 	 34515.73349282501 0.22695777159731326 
little 	 4102.422353897738 0.780505348675992 
adventure 	 4064.3154568974933 1.1228251713993636 
independence 	 24443.13442943987 0.22695777159731326 
formulate 	 40643.15456897493 0.22695777159731326 
fraction 	 43186.264089448676 0.22695777159731326 
observation 	 10144.151173453783 0.407655276614473 
planned 	 13434.578072721715 0.407655276614473 
wan 	 17632.665573758255 0.5549280754019316 
proposed 	 10734.359928854174 0.407655276614473 
locale 	 46770.575645124845 0.22695777159731326 
film 	 10952.796706543633 0.22695777159731326 
intended 	 27347.110381472667 0.22695777159731326 
universal 	 15111.92220065739 0.407655276614473 
studios 	 21593.132044724338 0.407655276614473 
location 	 9115.70346049089 0.5549280754019316 
suspension 	 18529.421506649378 0.407655276614473 
embarking 	 52897.996721274765 0.22695777159731326 
studies 	 9470.127531368064 0.22695777159731326 
discussion 	 13119.67923555522 0.22695777159731326 
various 	 2700.0947844156494 0.6772651892054877 
incorporate 	 18529.421506649378 0.407655276614473 
wok 	 52897.996721274765 0.22695777159731326 
providing 	 9070.329063995861 0.407655276614473 
landmarks 	 46770.575645124845 0.22695777159731326 
combining 	 37058.843013298756 0.22695777159731326 
victoria 	 40643.15456897493 0.22695777159731326 
sightseeing 	 52897.996721274765 0.22695777159731326 
extraordinary 	 34515.73349282501 0.22695777159731326 
edge 	 14479.416471765613 0.407655276614473 
dusty 	 52897.996721274765 0.22695777159731326 
flattened 	 46770.575645124845 0.22695777159731326 
tract 	 37058.843013298756 0.22695777159731326 
reclaimed 	 52897.996721274765 0.22695777159731326 
curious 	 52897.996721274765 0.22695777159731326 
surfaced 	 46770.575645124845 0.22695777159731326 
children 	 5567.996930410464 0.5549280754019316 
alike 	 46770.575645124845 0.22695777159731326 
poised 	 52897.996721274765 0.22695777159731326 
binoculars 	 52897.996721274765 0.22695777159731326 
cameras 	 37058.843013298756 0.22695777159731326 
chorus 	 43186.264089448676 0.22695777159731326 
wah 	 23385.287822562423 0.407655276614473 
boy 	 31700.60250973717 0.22695777159731326 
look 	 7080.440635378825 0.407655276614473 
father 	 27347.110381472667 0.22695777159731326 
exclaim 	 52897.996721274765 0.22695777159731326 
fireworks 	 52897.996721274765 0.22695777159731326 
environmentalist 	 43186.264089448676 0.22695777159731326 
bill 	 4964.249323912447 0.6772651892054877 
leverett 	 17632.665573758255 0.5549280754019316 
march 	 9623.550155852568 0.407655276614473 
help 	 5071.968869409845 0.5549280754019316 
awareness 	 14784.364963737939 0.407655276614473 
plight 	 30931.421937148843 0.22695777159731326 
helping 	 13207.861711528742 0.407655276614473 
contribute 	 30223.84440131478 0.22695777159731326 
generate 	 33474.53145762259 0.22695777159731326 
revenue 	 28958.832943531226 0.22695777159731326 
research 	 5072.632331911848 0.407655276614473 
campaigns 	 25573.18143358725 0.22695777159731326 
attempts 	 18494.305285976825 0.22695777159731326 
protect 	 19856.997295649788 0.22695777159731326 
marine 	 32543.1444992074 0.22695777159731326 
astonished 	 52897.996721274765 0.22695777159731326 
threatened 	 27347.110381472667 0.22695777159731326 
food 	 19052.80677631116 0.22695777159731326 
overfishing 	 52897.996721274765 0.22695777159731326 
pollution 	 15465.710968574422 0.407655276614473 
sighting 	 52897.996721274765 0.22695777159731326 
spotting 	 46770.575645124845 0.22695777159731326 
versions 	 33474.53145762259 0.22695777159731326 
runs 	 33474.53145762259 0.22695777159731326 
wednesdays 	 52897.996721274765 0.22695777159731326 
pick 	 43186.264089448676 0.22695777159731326 
tsim 	 26448.998360637383 0.407655276614473 
sha 	 5836.597564662045 0.407655276614473 
tsui 	 26448.998360637383 0.407655276614473 
motored 	 52897.996721274765 0.22695777159731326 
meandered 	 52897.996721274765 0.22695777159731326 
slowly 	 34515.73349282501 0.22695777159731326 
sighted 	 38670.565575357316 0.22695777159731326 
hours 	 11565.550792097167 0.407655276614473 
twos 	 52897.996721274765 0.22695777159731326 
threes 	 52897.996721274765 0.22695777159731326 
regular 	 26869.15614544343 0.22695777159731326 
intervals 	 46770.575645124845 0.22695777159731326 
bone 	 43186.264089448676 0.22695777159731326 
porcelain 	 52897.996721274765 0.22695777159731326 
pinky 	 52897.996721274765 0.22695777159731326 
colour 	 40643.15456897493 0.22695777159731326 
hot 	 31700.60250973717 0.22695777159731326 
surrounded 	 43186.264089448676 0.22695777159731326 
sundays 	 52897.996721274765 0.22695777159731326 
weekend 	 37058.843013298756 0.22695777159731326 
coach 	 46770.575645124845 0.22695777159731326 
tuen 	 52897.996721274765 0.22695777159731326 
larger 	 28388.312416675097 0.22695777159731326 
waits 	 52897.996721274765 0.22695777159731326 
shore 	 34515.73349282501 0.22695777159731326 
adult 	 28388.312416675097 0.22695777159731326 
contributes 	 38670.565575357316 0.22695777159731326 
proceeds 	 33474.53145762259 0.22695777159731326 
earth 	 12221.567214719935 0.407655276614473 
action 	 3560.1232410948014 0.780505348675992 
sells 	 20321.577284487466 0.407655276614473 
related 	 14051.066193970404 0.22695777159731326 
merchandise 	 35696.1510036258 0.22695777159731326 
tee 	 52897.996721274765 0.22695777159731326 
shirts 	 43186.264089448676 0.22695777159731326 
postcards 	 52897.996721274765 0.22695777159731326 
books 	 10370.867534646757 0.407655276614473 
contacted 	 43186.264089448676 0.22695777159731326 
fax 	 10488.74118674991 0.407655276614473 
mail 	 15597.548607517978 0.22695777159731326 
super 	 38670.565575357316 0.22695777159731326 
web 	 3023.443021331954 0.8687963950838536 
http 	 3878.628112075431 0.22695777159731326 
www 	 3844.1641308010207 0.22695777159731326 
zianet 	 52897.996721274765 0.22695777159731326 
com 	 4266.874140059376 0.22695777159731326 
swings 	 46770.575645124845 0.22695777159731326 
explore 	 32543.1444992074 0.22695777159731326 
rewarded 	 43186.264089448676 0.22695777159731326 
cliches 	 52897.996721274765 0.22695777159731326 
brochures 	 46770.575645124845 0.22695777159731326 
mainland 	 14395.421363149557 0.5549280754019316 
fastest 	 37058.843013298756 0.22695777159731326 
visitor 	 10796.566022362169 0.6772651892054877 
association's 	 26448.998360637383 0.407655276614473 
study 	 3575.0482136660953 0.5549280754019316 
vistour 	 26448.998360637383 0.407655276614473 
outlines 	 29568.729927475877 0.22695777159731326 
nto's 	 52897.996721274765 0.22695777159731326 
strategies 	 22831.411867381306 0.22695777159731326 
recommends 	 43186.264089448676 0.22695777159731326 
officially 	 17848.0755018129 0.407655276614473 
classified 	 19335.282787678658 0.407655276614473 
recognises 	 23385.287822562423 0.407655276614473 
appeal 	 7813.769617108653 0.5549280754019316 
island's 	 11692.643911281211 0.6772651892054877 
mountain 	 12352.947671099584 0.5549280754019316 
scenery 	 52897.996721274765 0.22695777159731326 
attractive 	 18529.421506649378 0.407655276614473 
coastal 	 46770.575645124845 0.22695777159731326 
accessibility 	 43186.264089448676 0.22695777159731326 
radically 	 37058.843013298756 0.22695777159731326 
altered 	 37058.843013298756 0.22695777159731326 
creation 	 20512.11176948869 0.22695777159731326 
serving 	 28388.312416675097 0.22695777159731326 
rail 	 40643.15456897493 0.22695777159731326 
road 	 4688.261770265192 0.780505348675992 
fortunately 	 43186.264089448676 0.22695777159731326 
quality 	 4811.775077926284 0.6772651892054877 
weekends 	 43186.264089448676 0.22695777159731326 
recommend 	 38670.565575357316 0.22695777159731326 
fine 	 26869.15614544343 0.22695777159731326 
giving 	 10256.055884744344 0.407655276614473 
retaining 	 38670.565575357316 0.22695777159731326 
cable 	 32543.1444992074 0.22695777159731326 
township 	 52897.996721274765 0.22695777159731326 
tung 	 12890.188525119105 0.5549280754019316 
chung 	 15590.191881708282 0.5549280754019316 
remote 	 28958.832943531226 0.22695777159731326 
grown 	 18529.421506649378 0.407655276614473 
thriving 	 52897.996721274765 0.22695777159731326 
settlement 	 30931.421937148843 0.22695777159731326 
servicing 	 43186.264089448676 0.22695777159731326 
teams 	 46770.575645124845 0.22695777159731326 
ngong 	 52897.996721274765 0.22695777159731326 
ping 	 43186.264089448676 0.22695777159731326 
peak 	 8924.03775090645 0.6772651892054877 
inoffensive 	 52897.996721274765 0.22695777159731326 
enable 	 31700.60250973717 0.22695777159731326 
easier 	 15850.301254868586 0.407655276614473 
surrounding 	 10994.43493895554 0.407655276614473 
trails 	 43186.264089448676 0.22695777159731326 
lane 	 52897.996721274765 0.22695777159731326 
connecting 	 43186.264089448676 0.22695777159731326 
increased 	 3578.119976284724 0.8687963950838536 
parks 	 46770.575645124845 0.22695777159731326 
landscape 	 31700.60250973717 0.22695777159731326 
protection 	 17800.61620547401 0.22695777159731326 
monitored 	 38670.565575357316 0.22695777159731326 
carefully 	 31700.60250973717 0.22695777159731326 
sited 	 52897.996721274765 0.22695777159731326 
propose 	 43186.264089448676 0.22695777159731326 
conjunction 	 38670.565575357316 0.22695777159731326 
worth 	 13926.195379908906 0.407655276614473 
discovering 	 43186.264089448676 0.22695777159731326 
forts 	 52897.996721274765 0.22695777159731326 
serene 	 52897.996721274765 0.22695777159731326 
hillsides 	 52897.996721274765 0.22695777159731326 
due 	 1889.2978342271574 1.0706503101601446 
accidental 	 37058.843013298756 0.22695777159731326 
bad 	 14479.416471765613 0.407655276614473 
alter 	 35696.1510036258 0.22695777159731326 
character 	 23762.798825796493 0.22695777159731326 
bring 	 3031.3841864746787 0.9451660557641991 
radical 	 28388.312416675097 0.22695777159731326 
range 	 4014.003930321737 0.780505348675992 
twinjets 	 52897.996721274765 0.22695777159731326 
overfly 	 52897.996721274765 0.22695777159731326 
transfer 	 22541.549833626068 0.22695777159731326 
regional 	 4344.993936733579 0.780505348675992 
boss 	 38670.565575357316 0.22695777159731326 
john 	 18862.691922157846 0.22695777159731326 
mok 	 52897.996721274765 0.22695777159731326 
strategic 	 9652.944314510409 0.5549280754019316 
authority 	 9623.550155852568 0.407655276614473 
predicted 	 17257.866746412506 0.407655276614473 
keep 	 10370.867534646757 0.407655276614473 
pace 	 18529.421506649378 0.407655276614473 
function 	 18862.691922157846 0.22695777159731326 
forecasts 	 34515.73349282501 0.22695777159731326 
total 	 20288.302346907567 0.22695777159731326 
investing 	 35696.1510036258 0.22695777159731326 
competition 	 5782.775396048583 0.6772651892054877 
funds 	 22260.89134052518 0.22695777159731326 
build 	 13673.555190736333 0.407655276614473 
spectrum 	 33474.53145762259 0.22695777159731326 
risk 	 10488.74118674991 0.407655276614473 
inadequate 	 37058.843013298756 0.22695777159731326 
funding 	 25573.18143358725 0.22695777159731326 
grow 	 14479.416471765613 0.407655276614473 
manages 	 20321.577284487466 0.407655276614473 
britain's 	 38670.565575357316 0.22695777159731326 
ladbroke 	 26448.998360637383 0.407655276614473 
owns 	 34515.73349282501 0.22695777159731326 
rights 	 8144.656629316377 0.22695777159731326 
invest 	 34515.73349282501 0.22695777159731326 
global 	 5304.922326330688 0.6772651892054877 
dieter 	 52897.996721274765 0.22695777159731326 
huckestein 	 52897.996721274765 0.22695777159731326 
decision 	 3145.702793171725 0.780505348675992 
hotel's 	 52897.996721274765 0.22695777159731326 
rested 	 46770.575645124845 0.22695777159731326 
included 	 20288.302346907567 0.22695777159731326 
swire 	 26448.998360637383 0.407655276614473 
discussions 	 27852.390759817812 0.22695777159731326 
swire's 	 52897.996721274765 0.22695777159731326 
langkawi 	 17632.665573758255 0.5549280754019316 
cease 	 43186.264089448676 0.22695777159731326 
statement 	 20070.019651608683 0.22695777159731326 
owner 	 14194.156208337548 0.407655276614473 
accruvest 	 52897.996721274765 0.22695777159731326 
management 	 2104.4859710876826 0.9451660557641991 
renovation 	 21593.132044724338 0.407655276614473 
drawn 	 29568.729927475877 0.22695777159731326 
envisioned 	 52897.996721274765 0.22695777159731326 
langkawi's 	 52897.996721274765 0.22695777159731326 
affordable 	 35696.1510036258 0.22695777159731326 
hideaway 	 52897.996721274765 0.22695777159731326 
comprising 	 37058.843013298756 0.22695777159731326 
superior 	 38670.565575357316 0.22695777159731326 
rm60 	 52897.996721274765 0.22695777159731326 
rm110 	 52897.996721274765 0.22695777159731326 
ttg 	 3778.428337233912 1.2836845704021962 
understands 	 43186.264089448676 0.22695777159731326 
extensive 	 24443.13442943987 0.22695777159731326 
concept 	 8900.308102737004 0.407655276614473 
rebuild 	 52897.996721274765 0.22695777159731326 
upgrade 	 35696.1510036258 0.22695777159731326 
chalets 	 52897.996721274765 0.22695777159731326 
bungalows 	 52897.996721274765 0.22695777159731326 
record 	 20070.019651608683 0.22695777159731326 
phase 	 28388.312416675097 0.22695777159731326 
peter 	 18315.713353289953 0.22695777159731326 
mueller 	 26448.998360637383 0.407655276614473 
chief 	 4811.775077926284 0.6772651892054877 
officer 	 13434.578072721715 0.407655276614473 
kuala 	 8816.332786879128 0.8687963950838536 
lumpur 	 8816.332786879128 0.8687963950838536 
granite 	 46770.575645124845 0.22695777159731326 
ghr 	 52897.996721274765 0.22695777159731326 
staff 	 2994.8337081691575 0.8687963950838536 
terminated 	 37058.843013298756 0.22695777159731326 
retrenched 	 52897.996721274765 0.22695777159731326 
reported 	 6046.886042663908 0.5549280754019316 
media 	 7654.931419510648 0.22695777159731326 
mohanadas 	 52897.996721274765 0.22695777159731326 
kumaran 	 52897.996721274765 0.22695777159731326 
ibrahim 	 52897.996721274765 0.22695777159731326 
nordin 	 52897.996721274765 0.22695777159731326 
resident 	 12352.947671099584 0.5549280754019316 
respectively 	 24443.13442943987 0.22695777159731326 
foresee 	 46770.575645124845 0.22695777159731326 
relocating 	 52897.996721274765 0.22695777159731326 
tight 	 40643.15456897493 0.22695777159731326 
labour 	 38670.565575357316 0.22695777159731326 
affecting 	 24804.000860998927 0.22695777159731326 
agencies 	 9824.493849271836 0.407655276614473 
sala 	 52897.996721274765 0.22695777159731326 
earlier 	 10734.359928854174 0.407655276614473 
prepaid 	 37058.843013298756 0.22695777159731326 
langasuka 	 52897.996721274765 0.22695777159731326 
resort's 	 52897.996721274765 0.22695777159731326 
deluxe 	 26448.998360637383 0.407655276614473 
rm165 	 52897.996721274765 0.22695777159731326 
virginia 	 14784.364963737939 0.407655276614473 
saunders 	 26448.998360637383 0.407655276614473 
hoteliers 	 10579.599344254953 0.780505348675992 
surcharges 	 5196.730627236094 1.0706503101601446 
singapore's 	 52897.996721274765 0.22695777159731326 
lower 	 9928.498647824894 0.407655276614473 
telecommunications 	 9462.770805558364 0.5549280754019316 
charges 	 3756.9249722710115 0.8687963950838536 
direct 	 2806.998242649096 0.9451660557641991 
current 	 3114.3879178262146 0.6772651892054877 
heightened 	 20321.577284487466 0.407655276614473 
ministerial 	 46770.575645124845 0.22695777159731326 
decree 	 32543.1444992074 0.22695777159731326 
distance 	 4528.657501391024 0.9451660557641991 
batam 	 13224.499180318691 0.6772651892054877 
rp1 	 26448.998360637383 0.407655276614473 
minute 	 7732.855484287211 0.6772651892054877 
calling 	 27347.110381472667 0.22695777159731326 
rp2 	 52897.996721274765 0.22695777159731326 
expensive 	 14784.364963737939 0.407655276614473 
discounted 	 23385.287822562423 0.407655276614473 
owned 	 13673.555190736333 0.407655276614473 
provider 	 32543.1444992074 0.22695777159731326 
telkom 	 10796.566022362169 0.6772651892054877 
changed 	 12402.000430499464 0.407655276614473 
period 	 5667.8935026814725 0.5549280754019316 
discounts 	 32543.1444992074 0.22695777159731326 
apply 	 11720.65442566298 0.407655276614473 
normal 	 12786.590716793626 0.407655276614473 
strong 	 10734.359928854174 0.407655276614473 
surpassed 	 46770.575645124845 0.22695777159731326 
network 	 10994.43493895554 0.407655276614473 
tariffs 	 35696.1510036258 0.22695777159731326 
casa 	 52897.996721274765 0.22695777159731326 
grande 	 43186.264089448676 0.22695777159731326 
able 	 4535.164531997931 0.6772651892054877 
defer 	 52897.996721274765 0.22695777159731326 
regulate 	 30931.421937148843 0.22695777159731326 
imposed 	 27347.110381472667 0.22695777159731326 
levy 	 46770.575645124845 0.22695777159731326 
received 	 17800.61620547401 0.22695777159731326 
complaints 	 19335.282787678658 0.407655276614473 
guests 	 21593.132044724338 0.407655276614473 
arbitrary 	 37058.843013298756 0.22695777159731326 
concerned 	 7073.229768440917 0.5549280754019316 
reduce 	 22260.89134052518 0.22695777159731326 
doing 	 21988.86987791108 0.22695777159731326 
competitive 	 13207.861711528742 0.407655276614473 
hotelier 	 52897.996721274765 0.22695777159731326 
reduced 	 8956.385381814476 0.5549280754019316 
bare 	 38670.565575357316 0.22695777159731326 
minimum 	 23441.30885132596 0.22695777159731326 
feel 	 28388.312416675097 0.22695777159731326 
attract 	 38670.565575357316 0.22695777159731326 
mice 	 43186.264089448676 0.22695777159731326 
decline 	 8805.24114101916 0.5549280754019316 
microsoft 	 11426.481442369135 0.22695777159731326 
launching 	 38670.565575357316 0.22695777159731326 
internet 	 831.9053900301595 1.1694531186213246 
called 	 7734.247610317495 0.407655276614473 
browse 	 43186.264089448676 0.22695777159731326 
information 	 1835.7247564785991 0.6772651892054877 
credit 	 10609.844652661375 0.407655276614473 
card 	 14194.156208337548 0.407655276614473 
transactions 	 30931.421937148843 0.22695777159731326 
encryption 	 20321.577284487466 0.407655276614473 
technologies 	 30223.84440131478 0.22695777159731326 
secure 	 27347.110381472667 0.22695777159731326 
sockets 	 46770.575645124845 0.22695777159731326 
layer 	 35696.1510036258 0.22695777159731326 
communication 	 21724.9696836679 0.22695777159731326 
authentication 	 46770.575645124845 0.22695777159731326 
sabre 	 7556.856674467824 0.9451660557641991 
solutions 	 24443.13442943987 0.22695777159731326 
bts 	 7556.856674467824 0.9451660557641991 
suite 	 35696.1510036258 0.22695777159731326 
expense 	 10847.714833069133 0.5549280754019316 
reporting 	 12402.000430499464 0.407655276614473 
tools 	 27852.390759817812 0.22695777159731326 
developing 	 10370.867534646757 0.407655276614473 
lotus 	 21593.132044724338 0.407655276614473 
version 	 20070.019651608683 0.22695777159731326 
seamlessly 	 52897.996721274765 0.22695777159731326 
components 	 12402.000430499464 0.407655276614473 
establish 	 25180.227852461077 0.22695777159731326 
versatile 	 40643.15456897493 0.22695777159731326 
platforms 	 46770.575645124845 0.22695777159731326 
supporting 	 23762.798825796493 0.22695777159731326 
windows 	 31700.60250973717 0.22695777159731326 
intranet 	 52897.996721274765 0.22695777159731326 
sam 	 37058.843013298756 0.22695777159731326 
gilliland 	 52897.996721274765 0.22695777159731326 
neds 	 52897.996721274765 0.22695777159731326 
report 	 13942.598575458767 0.22695777159731326 
solution 	 24443.13442943987 0.22695777159731326 
expects 	 37058.843013298756 0.22695777159731326 
capitalise 	 52897.996721274765 0.22695777159731326 
data 	 14850.061297349903 0.22695777159731326 
contained 	 30223.84440131478 0.22695777159731326 
simplify 	 52897.996721274765 0.22695777159731326 
process 	 3458.861437088209 0.6772651892054877 
chain's 	 52897.996721274765 0.22695777159731326 
replace 	 29568.729927475877 0.22695777159731326 
significant 	 6287.563974052615 0.5549280754019316 
mean 	 27347.110381472667 0.22695777159731326 
michael 	 24443.13442943987 0.22695777159731326 
stajdel 	 52897.996721274765 0.22695777159731326 
book 	 7136.038852733147 0.407655276614473 
schedules 	 13547.71818965831 0.5549280754019316 
ideas 	 17969.002249014946 0.22695777159731326 
weather 	 12992.209185899852 0.407655276614473 
print 	 25984.418371799704 0.22695777159731326 
copy 	 28388.312416675097 0.22695777159731326 
convergence 	 40643.15456897493 0.22695777159731326 
undercurrents 	 15590.191881708282 0.5549280754019316 
changing 	 9070.329063995861 0.407655276614473 
threatening 	 33474.53145762259 0.22695777159731326 
livelihood 	 26448.998360637383 0.407655276614473 
cautions 	 46770.575645124845 0.22695777159731326 
chris 	 40643.15456897493 0.22695777159731326 
lyle 	 8816.332786879128 0.8687963950838536 
economics 	 5593.233349513064 0.407655276614473 
statistics 	 27852.390759817812 0.22695777159731326 
branch 	 29568.729927475877 0.22695777159731326 
icao 	 52897.996721274765 0.22695777159731326 
carriers 	 6340.120501947434 0.780505348675992 
crs 	 5846.321955640606 1.0118761367923732 
channel 	 30931.421937148843 0.22695777159731326 
limelight 	 46770.575645124845 0.22695777159731326 
levels 	 10144.151173453783 0.407655276614473 
forms 	 15996.41325539733 0.22695777159731326 
cancellation 	 18529.421506649378 0.407655276614473 
fees 	 9856.243309158626 0.5549280754019316 
arisen 	 43186.264089448676 0.22695777159731326 
choose 	 26869.15614544343 0.22695777159731326 
fewer 	 34515.73349282501 0.22695777159731326 
pay 	 3207.850051950856 0.8687963950838536 
commissions 	 19335.282787678658 0.407655276614473 
sales 	 3442.3461893092663 0.9451660557641991 
automation 	 38670.565575357316 0.22695777159731326 
capability 	 13673.555190736333 0.407655276614473 
agent 	 3442.3461893092663 0.9451660557641991 
chain 	 10310.473979049613 0.5549280754019316 
entirely 	 29568.729927475877 0.22695777159731326 
method 	 19052.80677631116 0.22695777159731326 
tickets 	 9667.641393839329 0.6772651892054877 
roms 	 26448.998360637383 0.407655276614473 
alitalia 	 52897.996721274765 0.22695777159731326 
usair 	 52897.996721274765 0.22695777159731326 
northwest 	 17257.866746412506 0.407655276614473 
swissair 	 52897.996721274765 0.22695777159731326 
united 	 4062.764092380012 0.5549280754019316 
diskettes 	 52897.996721274765 0.22695777159731326 
server 	 34515.73349282501 0.22695777159731326 
airline's 	 26448.998360637383 0.407655276614473 
individual 	 4950.020432449967 0.5549280754019316 
